Win,Age,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
29,28,2,17.6,0.547,0.376,0.135,2,9.7,5.9,19.3,1,1.5,8.3,26.6,3.3,0.6,3.9,0.083,2.6,-1.7,1,1.7
39,27,1,16.5,0.543,0.043,0.109,3.1,12,7.6,37.5,1.9,0.8,18.2,17.2,1.7,1.4,3.1,0.124,0.3,0.2,0.5,0.8
23,22,4,10.7,0.574,0.343,0.243,5.4,19.4,12.1,6.8,1.4,0.9,12.4,13.3,0.2,0.2,0.5,0.078,-3.3,0,-3.3,-0.1
39,28,4,14.4,0.626,0.536,0.108,2,11.7,6.9,8.4,0.3,0.3,7.1,19.6,2.2,0.9,3,0.116,1.5,-1.5,0,0.7
50,32,5,19.9,0.653,0.021,0.266,12.4,25.5,19.1,4.6,1.5,7.9,13.1,15.1,2.2,2.4,4.6,0.21,-0.3,2.3,2,1.1
44,28,2,6.6,0.476,0.503,0.176,3.6,13.9,8.9,5.1,1.4,0.9,10.9,10.5,-0.1,1,0.9,0.056,-3.8,0.8,-3,-0.2
19,27,3,8.7,0.493,0.38,0.181,6.9,14.4,10.6,3.3,1.9,1.2,12.3,15.2,-0.2,0.3,0.2,0.014,-4.4,-0.9,-5.3,-0.5
19,23,1,16.3,0.587,0.427,0.219,1.2,7.8,4.4,31,2.7,0.6,13.7,15.8,1.2,0.4,1.6,0.13,0.4,-0.1,0.3,0.3
40,26,2,11.8,0.629,0.831,0.135,1.4,8.7,5,5.3,1.2,0.7,8.4,15.6,2.2,0.9,3.1,0.102,0.1,-0.7,-0.6,0.5
24,28,2,15.2,0.523,0.334,0.262,2.7,15.2,8.7,18.8,1.4,2,9.7,24.9,0.4,0.2,0.7,0.05,0.8,-1.3,-0.5,0.3
43,28,2,16.7,0.58,0.667,0.667,3.5,14,8.7,15.6,3.1,2.9,0,10.5,0.1,0,0.1,0.206,1,1.4,2.5,0
20,28,2,6.5,0.446,0.372,0.512,0,17.6,8.7,10.7,0,0,8.7,25.7,-0.1,0,-0.1,-0.053,-5.6,-4.2,-9.8,-0.2
28,29,5,12.1,0.572,0.646,0.229,4.2,13.8,8.9,10.4,1.7,1.7,11.9,15.8,0.9,0.8,1.8,0.092,-1,0.4,-0.6,0.3
32,21,1,14.5,0.524,0.332,0.316,4,15.7,10,20.5,3,1.6,16.2,19.4,0.4,1.4,1.8,0.083,-1.6,1.8,0.2,0.6
27,22,4,25.4,0.597,0.029,0.229,14.8,23.7,19.2,13.8,0.7,4.8,11.5,25.9,0.2,0.1,0.2,0.159,3.8,-0.8,3,0.1
53,28,3,21.3,0.614,0.376,0.23,2.6,16.8,10.1,21.3,1.4,0.4,10.6,26.2,4.3,3.2,7.4,0.211,3.4,0.9,4.3,2.7
28,25,4,14,0.773,0,0.667,11.6,30.4,20.8,0,0,0,0,8.9,0.1,0,0.1,0.221,-2.2,-0.9,-3.1,0
24,32,2,11.1,0.472,0.593,0.339,2.6,5.7,4.1,9.9,2.9,2.2,5.6,18.5,0,0.1,0.1,0.033,-1.8,0,-1.9,0
