Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
333,C.J. Miles\milescj01,SG,32,WAS,10,0,161,5.5,17.1,0.322,3.2,10.1,0.314,2.3,7,0.333,4.3,5.8,0.75,1.2,2.3,3.5,3.5,2.9,1.2,1.2,4.1,18.5
334,Malcolm Miller\millema01,SF,26,TOR,25,1,125,3.1,9.2,0.333,2.3,7.2,0.316,0.8,1.9,0.4,0.4,2.3,0.167,0.4,5,5.3,3.1,1.5,0.8,1.1,4.6,8.8
335,Patty Mills\millspa02,PG,31,SAS,63,1,1430,8.3,19.3,0.429,5,13,0.38,3.3,6.3,0.529,3.1,3.6,0.861,0.6,2.7,3.3,3.8,1.7,0.2,1.7,3.3,24.6
336,Paul Millsap\millspa01,PF,34,DEN,45,42,1103,8.5,17.7,0.482,2.2,5,0.438,6.4,12.7,0.5,4.7,5.7,0.828,4,7.9,11.9,3.2,1.8,1.3,2.8,5.9,24
337,Shake Milton\miltosh01,SG,23,PHI,33,17,631,8.3,16.8,0.495,3.7,8.2,0.449,4.6,8.5,0.541,3,3.9,0.765,0.8,4.5,5.3,5.7,1.5,0.5,3.2,5.7,23.3
338,Donovan Mitchell\mitchdo01,SG,23,UTA,65,65,2233,12.5,27.6,0.452,3.4,9.5,0.362,9,18.1,0.499,5.6,6.5,0.86,1,5.1,6.2,6,1.5,0.3,3.8,3.4,34
339,Naz Mitrou-Long\mitrona01,SG,26,IND,3,0,43,6.8,18.1,0.375,2.3,12.5,0.182,4.5,5.7,0.8,0,0,,0,6.8,6.8,7.9,1.1,1.1,2.3,1.1,15.9
340,Adam Mokoka\mokokad01,SG,21,CHI,11,0,112,5.2,12,0.429,2.6,6.5,0.4,2.6,5.6,0.462,0.9,1.7,0.5,3,1.3,4.3,1.7,1.7,0,0.9,7.3,13.8
341,Malik Monk\monkma01,SG,21,CHO,55,1,1169,9.1,20.9,0.434,2.5,8.7,0.284,6.6,12.2,0.542,3.5,4.3,0.82,1.2,5.6,6.7,4.9,1.1,0.7,3.3,3.2,24.2
342,Matt Mooney\moonema01,SG,22,CLE,4,0,19,2.6,10.2,0.25,0,5.1,0,2.6,5.1,0.5,0,0,,0,7.7,7.7,2.6,5.1,2.6,0,2.6,5.1
343,E'Twaun Moore\mooreet01,SG,30,NOP,53,5,976,8.4,19.8,0.422,2.9,7.7,0.38,5.4,12.1,0.449,1.4,2,0.674,1.4,4.5,6,3.5,1.4,0.5,1.8,3.7,21.1
344,Ja Morant\moranja01,PG,20,MEM,60,60,1812,10.3,21.2,0.487,1.3,3.8,0.356,9,17.4,0.515,5.4,7,0.776,1.2,4.3,5.5,10.8,1.4,0.4,5,2.3,27.4
345,Juwan Morgan\morgaju01,PF,22,UTA,17,0,81,6,11.4,0.526,0.6,3.6,0.167,5.4,7.8,0.692,1.2,1.2,1,3.6,9,12.6,1.2,0,0.6,1.8,4.8,13.8
346,Marcus Morris\morrima03,SF-PF,30,TOT,57,57,1772,9,20.8,0.431,3.7,9,0.407,5.3,11.8,0.449,4.7,5.7,0.823,1.5,6.3,7.8,2.1,1.1,0.8,2.5,4.6,26.3
346,Marcus Morris\morrima03,SF,30,NYK,43,43,1387,9.9,22.3,0.442,4.1,9.3,0.439,5.8,13.1,0.444,5.7,7,0.823,1.7,6.5,8.2,2.1,1.2,0.6,2.6,4.5,29.5
346,Marcus Morris\morrima03,PF,30,LAC,14,14,385,5.9,15.6,0.378,2.2,8,0.277,3.7,7.6,0.484,1.1,1.3,0.818,0.9,5.5,6.4,2.3,1,1.3,2.2,4.8,15.1
347,Markieff Morris\morrima02,PF,30,TOT,54,16,1119,8.4,19,0.441,3.5,9.4,0.377,4.9,9.6,0.505,2.8,3.6,0.783,1.5,7.3,8.8,3.2,1.3,0.7,3.3,5.3,23.2
347,Markieff Morris\morrima02,PF,30,DET,44,16,988,8.7,19.4,0.45,3.7,9.4,0.397,5,10,0.5,3,3.9,0.772,1.2,7.4,8.6,3.4,1.3,0.5,3.5,5.2,24.2
347,Markieff Morris\morrima02,PF,30,LAL,10,0,131,6.2,16.7,0.37,2.2,9.4,0.231,4,7.3,0.55,1.5,1.5,1,4,6.2,10.2,1.8,1.5,1.8,1.8,6.2,16
348,Monte Morris\morrimo01,PG,24,DEN,66,9,1430,7.8,17,0.458,1.9,5,0.37,5.9,11.9,0.496,2,2.4,0.829,0.7,3.3,4,8.1,1.8,0.6,1.7,2.3,19.4
349,Johnathan Motley\motlejo01,PF,24,LAC,13,0,41,12.6,17.2,0.733,1.1,1.1,1,11.5,16.1,0.714,5.7,8,0.714,3.4,8,11.5,9.2,3.4,0,5.7,6.9,32.2
350,Emmanuel Mudiay\mudiaem01,PG,23,UTA,50,1,781,8.6,18.5,0.466,1.7,4.9,0.342,6.9,13.5,0.512,3.6,4.7,0.76,1.1,6.4,7.5,6.7,1.4,0.6,4.2,4.1,22.5
351,Mychal Mulder\muldemy01,SG,25,GSW,7,3,204,6.1,15.7,0.388,3.8,12.2,0.308,2.3,3.5,0.667,2.1,2.8,0.75,0.7,4.7,5.4,1.9,0.5,0.2,1.2,4.7,18.1
