Tm,Win,Pos,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
MIL,53,2,4.9,10.7,0.457943925,1.8,5.6,0.321428571,3.1,5.1,0.607843137,0.542056075,1.1,1.5,0.733333333,2.3,8.3,10.6,3.9,0.8,1.2,1.9,2.5,12.6,113,103
LAL,50,1,8.8,20.1,0.437810945,2.9,7.7,0.376623377,5.9,12.4,0.475806452,0.509950249,0.7,1,0.7,0.8,3.9,4.8,4.8,1.3,0.1,2.9,2.7,21.2,100,110
CLE,19,4,9.7,13.9,0.697841727,0,0,0,9.7,13.9,0.697841727,0.697841727,7,8.3,0.843373494,5.6,8.3,13.9,1.4,1.4,0,1.4,5.6,26.4,150,116
MIN,19,4,7.1,16.3,0.435582822,3.6,10.3,0.349514563,3.6,6.1,0.590163934,0.54601227,2.5,3.1,0.806451613,1.2,8.3,9.4,1.8,2.6,1.5,2.4,4.9,20.2,106,109
HOU,40,4,6.3,15.5,0.406451613,3.8,11.3,0.336283186,2.5,4.2,0.595238095,0.529032258,1.4,1.7,0.823529412,1.9,9.4,11.3,2,1.6,3.6,2,4.8,17.9,108,106
ATL,20,2,4.6,12.8,0.359375,2.7,8.3,0.325301205,2,4.5,0.444444444,0.46484375,0.8,1.1,0.727272727,0.9,4.9,5.8,2.5,1.3,0.4,1.1,3.2,12.8,100,117
MIN,19,2,3.9,12,0.325,2.1,9.2,0.22826087,1.8,2.8,0.642857143,0.4125,0.4,0.7,0.571428571,0.4,3.9,4.3,1.8,0,0,1.8,3.9,10.3,81,119
DEN,43,3,5.5,11.8,0.466101695,2.1,6.3,0.333333333,3.4,5.6,0.607142857,0.555084746,1.1,1.7,0.647058824,2.8,6.1,8.9,2.1,1,1.8,1.2,6.3,14.2,117,111
MEM,32,3,5.2,14.1,0.368794326,2.8,9.4,0.29787234,2.4,4.7,0.510638298,0.468085106,2.6,3.4,0.764705882,1.4,8.4,9.8,4.4,1.7,0.5,1.9,3,15.8,106,111
MIA,41,3,6.4,14.4,0.444444444,4.6,11.3,0.407079646,1.8,3,0.6,0.604166667,2.4,3.2,0.75,1,9.1,10.1,3.3,2.6,0.9,1.1,5.1,20,125,106
MIN,19,2,7.1,17.5,0.405714286,2,6.8,0.294117647,5.1,10.7,0.476635514,0.462857143,1.7,3.6,0.472222222,2.2,4.4,6.5,3.4,1.8,1.2,2.5,3.9,17.9,94,113
